                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2984,                 4.7725,                 4.2852,                0.00095,                    0.5,                 0.0012,                0.00063,                 2.1998,                 3.2307,                 4.1608,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 3.8622,                 4.6477,                 4.1817,                0.00114,                0.52083,                0.00187,                0.00085,                 2.1955,                 3.2301,                 4.1618,             0.00020784,             0.00020784,             0.00020784
                      3,                 3.8374,                 4.4593,                 4.0685,                 0.0009,                  0.375,                0.00098,                0.00034,                 2.1949,                 3.2601,                 4.1593,             0.00031529,             0.00031529,             0.00031529
                      4,                 3.5055,                 4.0976,                 3.8441,                0.00035,                   0.25,                0.00044,                0.00014,                 2.1934,                 3.3693,                 4.1556,             0.00042231,             0.00042231,             0.00042231
                      5,                 3.1579,                 3.9011,                  3.651,                0.00023,                   0.25,                0.00026,                0.00016,                  2.187,                 3.4326,                 4.1583,              0.0005289,              0.0005289,              0.0005289
                      6,                 2.8855,                 3.5909,                 3.3588,                0.00066,                0.33333,                0.00067,                0.00022,                 2.1772,                 3.3819,                  4.191,             0.00063506,             0.00063506,             0.00063506
                      7,                 2.6401,                 3.2985,                 3.1138,                0.00127,                    0.5,                0.00159,                0.00058,                 2.1552,                 3.3625,                 4.2101,             0.00074079,             0.00074079,             0.00074079
                      8,                 2.5836,                 3.0174,                 2.8385,                0.00069,                  0.375,                0.00091,                0.00029,                 2.1451,                 3.4334,                 4.2084,             0.00082145,             0.00082145,             0.00082145
                      9,                 2.3933,                 2.7595,                 2.6533,                0.00115,                0.38116,                0.00142,                0.00046,                 2.2602,                  3.419,                  4.284,             0.00081981,             0.00081981,             0.00081981
                     10,                 2.2695,                 2.6664,                 2.5539,                0.00216,                0.16335,                0.00288,                0.00159,                 2.2709,                 4.4503,                 5.0431,             0.00081816,             0.00081816,             0.00081816
                     11,                 2.0846,                  2.705,                 2.3357,                0.00216,                0.16335,                0.00288,                0.00159,                 2.0328,                 11.133,                 4.8953,             0.00081651,             0.00081651,             0.00081651
                     12,                 1.8635,                 2.3169,                  2.208,                0.00216,                0.16335,                0.00288,                0.00159,                 2.1122,                  15.22,                 4.4527,             0.00081486,             0.00081486,             0.00081486
                     13,                 1.8186,                 2.1982,                 2.0855,                0.00012,                0.02273,                  7e-05,                  1e-05,                 2.0313,                  9.299,                 4.9294,             0.00081321,             0.00081321,             0.00081321
                     14,                 1.7739,                  2.345,                 2.0528,                  8e-05,                0.01136,                  4e-05,                  2e-05,                  2.265,                 4.9135,                 4.4762,             0.00081156,             0.00081156,             0.00081156
                     15,                 1.6791,                  2.124,                 1.8827,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2069,                 6.2004,                  4.698,             0.00080991,             0.00080991,             0.00080991
                     16,                 1.5003,                 2.0057,                 1.7522,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 1.9165,                 10.584,                 6.3848,             0.00080826,             0.00080826,             0.00080826
                     17,                 1.4968,                    2.1,                 1.7387,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 1.9607,                 12.698,                 4.8116,             0.00080661,             0.00080661,             0.00080661
                     18,                 1.4361,                 2.0219,                 1.7187,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.0236,                 6.1955,                 4.4372,             0.00080496,             0.00080496,             0.00080496
                     19,                 1.4388,                 1.9841,                  1.698,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.1577,                 5.6909,                 4.2687,             0.00080331,             0.00080331,             0.00080331
                     20,                 1.4928,                 2.1673,                 1.6511,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.0862,                   7.78,                 4.8203,             0.00080166,             0.00080166,             0.00080166
                     21,                  1.305,                 1.8779,                 1.5939,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 1.8984,                 6.7698,                  5.918,             0.00080001,             0.00080001,             0.00080001
                     22,                 1.3104,                 1.8274,                 1.5516,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 1.9217,                 6.1309,                 6.0608,             0.00079836,             0.00079836,             0.00079836
                     23,                 1.3095,                 1.8617,                 1.5345,                  8e-05,                0.01136,                  4e-05,                  2e-05,                  2.028,                 5.1034,                 4.8795,             0.00079671,             0.00079671,             0.00079671
                     24,                 1.2668,                 1.7886,                 1.5141,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2007,                 5.2057,                 4.3375,             0.00079507,             0.00079507,             0.00079507
                     25,                  1.292,                 1.7656,                 1.5123,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2463,                 4.9992,                 4.3855,             0.00079342,             0.00079342,             0.00079342
                     26,                   1.27,                 1.8799,                 1.6073,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.3087,                 4.7284,                 4.4906,             0.00079177,             0.00079177,             0.00079177
                     27,                 1.1601,                 1.6416,                 1.4126,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.3033,                 4.6906,                 4.3973,             0.00079012,             0.00079012,             0.00079012
                     28,                 1.2272,                 1.7054,                 1.4143,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2852,                 4.5751,                 4.2873,             0.00078847,             0.00078847,             0.00078847
                     29,                 1.1541,                 1.6298,                  1.386,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2413,                 4.7514,                 4.2689,             0.00078682,             0.00078682,             0.00078682
                     30,                 1.1829,                 1.7045,                 1.4225,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2392,                 5.3909,                 4.2637,             0.00078517,             0.00078517,             0.00078517
                     31,                 1.1678,                 1.7479,                  1.419,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2285,                 5.7243,                 4.2493,             0.00078352,             0.00078352,             0.00078352
                     32,                 1.1339,                 1.6012,                 1.3676,                  8e-05,                0.01136,                  4e-05,                  2e-05,                  2.256,                 4.9923,                 4.3485,             0.00078187,             0.00078187,             0.00078187
                     33,                 1.1768,                 1.5517,                 1.3979,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2427,                 5.7113,                 4.3571,             0.00078022,             0.00078022,             0.00078022
                     34,                 1.1546,                 1.5602,                 1.3389,                  8e-05,                0.01136,                  4e-05,                  2e-05,                 2.2032,                 5.5152,                 4.2342,             0.00077857,             0.00077857,             0.00077857
