                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1547,                 4.7309,                 4.2604,                  3e-05,                0.00313,                  2e-05,                      0,                  2.741,                 4.5236,                 4.1599,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 4.1998,                 4.5374,                 4.1671,                0.00021,                  0.015,                0.00012,                  3e-05,                 2.7432,                 4.5267,                 4.1614,             0.00020784,             0.00020784,             0.00020784
                      3,                 3.6192,                 4.0434,                   4.09,                0.00016,                0.01562,                 0.0001,                  1e-05,                 2.7505,                 4.5876,                  4.163,             0.00031529,             0.00031529,             0.00031529
                      4,                 3.1002,                 3.5258,                 3.8537,                0.00023,                0.01812,                0.00013,                  3e-05,                 2.7803,                 4.6773,                 4.1712,             0.00042231,             0.00042231,             0.00042231
                      5,                 2.8871,                  3.329,                 3.6107,                0.00012,                0.00875,                  6e-05,                  2e-05,                 2.8219,                 4.8757,                 4.1838,              0.0005289,              0.0005289,              0.0005289
                      6,                 2.3997,                 2.9326,                  3.332,                  8e-05,                0.00562,                  8e-05,                  5e-05,                 2.7701,                  4.744,                 4.1484,             0.00063506,             0.00063506,             0.00063506
                      7,                 2.2608,                 2.7464,                 3.1226,                0.00018,                 0.0025,                  7e-05,                  4e-05,                 2.7749,                  5.429,                 4.1399,             0.00074079,             0.00074079,             0.00074079
                      8,                 2.2195,                 2.6761,                 2.8584,                  4e-05,                 0.0025,                  7e-05,                  4e-05,                 2.7864,                 5.0787,                 4.1606,             0.00082145,             0.00082145,             0.00082145
                      9,                 2.0264,                 2.6428,                 2.7591,                0.00095,                0.03661,                0.00065,                0.00025,                 2.7658,                 4.9318,                 4.1332,             0.00081981,             0.00081981,             0.00081981
                     10,                 1.8091,                 2.4462,                 2.4845,                0.04619,                 0.0531,                0.02528,                0.01063,                 2.5746,                 4.6482,                  3.972,             0.00081816,             0.00081816,             0.00081816
                     11,                 1.7675,                 2.4221,                 2.3607,                0.10482,                0.12052,                0.04911,                0.01851,                  2.315,                 4.0447,                 3.6407,             0.00081651,             0.00081651,             0.00081651
                     12,                 1.6126,                  2.273,                 2.3048,                0.07923,                0.23915,                0.08631,                0.04019,                 1.9423,                 3.5586,                 3.1794,             0.00081486,             0.00081486,             0.00081486
                     13,                 1.5789,                 2.2458,                 2.2264,                0.22737,                 0.2559,                0.14992,                 0.0731,                 1.9734,                 2.8777,                 2.8606,             0.00081321,             0.00081321,             0.00081321
                     14,                 1.4715,                 2.1229,                 2.0104,                0.10046,                0.51048,                0.14142,                0.07668,                 1.7129,                 4.4971,                 2.6406,             0.00081156,             0.00081156,             0.00081156
                     15,                 1.3754,                 2.0541,                 1.9249,                0.21035,                0.33144,                0.17935,                0.09282,                 1.6862,                 2.5669,                  2.581,             0.00080991,             0.00080991,             0.00080991
                     16,                 1.3378,                 2.0044,                 1.8152,                 0.1517,                0.40541,                0.19848,                0.10402,                 1.7128,                 2.5758,                 2.6167,             0.00080826,             0.00080826,             0.00080826
                     17,                 1.2565,                 1.8818,                 1.6878,                0.17693,                0.33398,                0.19841,                0.09204,                  1.864,                 2.7392,                 2.7095,             0.00080661,             0.00080661,             0.00080661
                     18,                 1.2588,                 1.9385,                 1.7267,                 0.2061,                0.43944,                0.22562,                0.12423,                 1.7101,                 2.4505,                 2.4326,             0.00080496,             0.00080496,             0.00080496
                     19,                  1.243,                 1.9155,                 1.6661,                0.21011,                 0.4326,                0.22652,                0.12727,                 1.5286,                 2.3477,                 2.3162,             0.00080331,             0.00080331,             0.00080331
                     20,                 1.1851,                 1.8696,                 1.6303,                0.22798,                0.44688,                0.26258,                0.14518,                 1.5712,                 2.3264,                 2.2489,             0.00080166,             0.00080166,             0.00080166
                     21,                 1.1544,                 1.8898,                 1.5742,                0.22314,                0.56132,                0.25888,                0.13025,                 1.5804,                 2.3754,                 2.2735,             0.00080001,             0.00080001,             0.00080001
                     22,                 1.1914,                 1.8317,                 1.5456,                0.20109,                0.52089,                0.23966,                0.14389,                 1.5356,                  2.323,                 2.1276,             0.00079836,             0.00079836,             0.00079836
                     23,                 1.1625,                 1.8033,                 1.5277,                0.23522,                 0.5797,                0.29042,                0.16837,                 1.4706,                 2.1139,                 2.1328,             0.00079671,             0.00079671,             0.00079671
                     24,                 1.1427,                 1.7987,                 1.5125,                0.24712,                0.50016,                0.29273,                0.14615,                 1.6938,                 2.2197,                 2.3076,             0.00079507,             0.00079507,             0.00079507
                     25,                 1.0865,                 1.6949,                 1.4799,                0.23787,                0.47168,                0.27904,                0.15511,                 1.6144,                 2.4413,                 2.2906,             0.00079342,             0.00079342,             0.00079342
                     26,                 1.0364,                 1.6552,                 1.4338,                0.27623,                0.59077,                0.32854,                0.19771,                 1.4091,                 2.0305,                 2.0223,             0.00079177,             0.00079177,             0.00079177
                     27,                 1.0893,                 1.6841,                 1.4649,                  0.296,                 0.4538,                0.30495,                0.17586,                 1.5049,                 2.5855,                 2.0096,             0.00079012,             0.00079012,             0.00079012
                     28,                 1.0116,                 1.5809,                 1.3827,                 0.2471,                0.58331,                 0.3054,                0.18341,                 1.3942,                 2.1976,                 1.9759,             0.00078847,             0.00078847,             0.00078847
                     29,                 0.9864,                 1.5577,                 1.3864,                0.22304,                0.59583,                0.30027,                0.17465,                 1.5341,                 2.3377,                 2.0519,             0.00078682,             0.00078682,             0.00078682
                     30,                 0.9868,                 1.5306,                 1.4025,                0.28748,                0.57224,                0.32368,                0.17882,                 1.3306,                 2.1823,                 2.0112,             0.00078517,             0.00078517,             0.00078517
                     31,                0.99541,                 1.5466,                 1.3524,                0.28427,                0.54673,                0.32643,                0.18837,                 1.5797,                 2.2179,                 2.0676,             0.00078352,             0.00078352,             0.00078352
                     32,                0.99257,                 1.4979,                 1.3482,                0.29981,                0.49851,                0.34432,                0.19535,                 1.4025,                  2.213,                 2.0456,             0.00078187,             0.00078187,             0.00078187
                     33,                0.99155,                 1.4845,                 1.3432,                0.30021,                0.50004,                0.35922,                0.18951,                 1.7234,                 2.3616,                 2.1863,             0.00078022,             0.00078022,             0.00078022
                     34,                0.96136,                 1.4195,                 1.3485,                0.35063,                0.65727,                0.42957,                0.25943,                 1.4416,                  1.907,                 1.9541,             0.00077857,             0.00077857,             0.00077857
                     35,                 1.0389,                 1.5119,                 1.3744,                0.36721,                0.60551,                0.42415,                0.24383,                 1.4448,                 2.0051,                 1.9599,             0.00077692,             0.00077692,             0.00077692
                     36,                0.99427,                 1.4702,                 1.3162,                0.26755,                0.58321,                 0.3569,                 0.1901,                 1.3879,                  1.987,                 1.8808,             0.00077527,             0.00077527,             0.00077527
                     37,                0.97702,                 1.4615,                 1.3363,                 0.2745,                0.57496,                0.35426,                0.21474,                 1.4083,                 2.0497,                 1.8752,             0.00077362,             0.00077362,             0.00077362
                     38,                0.99945,                 1.4288,                 1.3622,                0.21631,                 0.5428,                0.31912,                0.17773,                 1.3748,                  2.284,                 2.0191,             0.00077197,             0.00077197,             0.00077197
                     39,                0.91956,                 1.3052,                 1.2712,                0.33219,                0.64866,                0.41655,                0.24628,                 1.3503,                 1.7513,                 1.8714,             0.00077033,             0.00077033,             0.00077033
                     40,                0.94062,                 1.3259,                  1.303,                 0.2609,                0.65307,                0.37322,                0.24146,                 1.2754,                 1.9062,                 1.7898,             0.00076868,             0.00076868,             0.00076868
                     41,                0.95973,                 1.3688,                 1.3064,                0.35613,                0.56094,                0.40355,                0.23476,                 1.3353,                 1.7891,                  1.853,             0.00076703,             0.00076703,             0.00076703
                     42,                0.96524,                 1.4037,                 1.3243,                0.35019,                 0.6423,                0.44964,                 0.2776,                 1.2879,                 1.7658,                 1.7688,             0.00076538,             0.00076538,             0.00076538
                     43,                0.93312,                 1.2895,                  1.288,                0.41314,                0.51739,                0.46482,                0.27805,                 1.3269,                 1.8073,                 1.8915,             0.00076373,             0.00076373,             0.00076373
