                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1244,                 4.6963,                  4.294,                0.00014,                0.01181,                  7e-05,                  1e-05,                 2.7939,                 4.4646,                 4.1577,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 4.2126,                 4.6376,                 4.1892,                 0.0002,                 0.0184,                0.00011,                  1e-05,                 2.7939,                 4.4667,                 4.1517,             0.00020784,             0.00020784,             0.00020784
                      3,                 3.7799,                  4.492,                 4.1113,                0.00019,                0.01875,                0.00012,                  1e-05,                  2.801,                 4.4864,                 4.1351,             0.00031529,             0.00031529,             0.00031529
                      4,                 3.4337,                 4.2411,                  3.886,                 0.0001,                0.00903,                  5e-05,                  1e-05,                 2.8236,                 4.5474,                 4.1173,             0.00042231,             0.00042231,             0.00042231
                      5,                 3.2002,                  4.022,                 3.6774,                0.00024,                0.02153,                0.00014,                  1e-05,                 2.8424,                 4.6063,                 4.1081,              0.0005289,              0.0005289,              0.0005289
                      6,                 2.8635,                 3.6663,                 3.4018,                 0.0001,                0.00875,                  9e-05,                  4e-05,                 2.8916,                 4.6836,                 4.1318,             0.00063506,             0.00063506,             0.00063506
                      7,                 2.7859,                 3.4678,                 3.2243,                0.00023,                0.01917,                0.00014,                  4e-05,                  2.918,                 4.7237,                  4.151,             0.00074079,             0.00074079,             0.00074079
                      8,                 2.6841,                 3.2088,                 2.9349,                  4e-05,                 0.0025,                  5e-05,                  3e-05,                  2.902,                 5.4076,                 4.1605,             0.00082145,             0.00082145,             0.00082145
                      9,                 2.5107,                 3.0246,                 2.8354,                  5e-05,                 0.0025,                  9e-05,                  6e-05,                 2.9016,                 5.1726,                 4.1802,             0.00081981,             0.00081981,             0.00081981
                     10,                 2.3121,                 2.7403,                  2.531,                0.00076,                0.03987,                0.00049,                0.00016,                 2.7865,                  5.081,                 3.9903,             0.00081816,             0.00081816,             0.00081816
                     11,                 2.1908,                 2.7373,                 2.4095,                0.64146,                0.01253,                0.00683,                0.00198,                  2.575,                 5.8965,                 3.7464,             0.00081651,             0.00081651,             0.00081651
                     12,                 2.0359,                 2.5882,                 2.3224,                0.17415,                0.07788,                0.03894,                0.01599,                 2.3427,                 5.4082,                 3.2842,             0.00081486,             0.00081486,             0.00081486
                     13,                 1.9756,                 2.5407,                   2.26,                0.48734,                0.15602,                 0.0951,                0.04564,                 2.1584,                 3.5812,                 3.0042,             0.00081321,             0.00081321,             0.00081321
                     14,                 1.7889,                 2.3812,                 2.0891,                 0.1266,                0.30147,                0.12315,                0.06072,                 1.9554,                 3.3276,                 2.7688,             0.00081156,             0.00081156,             0.00081156
                     15,                 1.6527,                 2.3008,                 1.9849,                0.12007,                0.28532,                 0.0927,                0.04338,                 1.8364,                 3.9493,                 2.5701,             0.00080991,             0.00080991,             0.00080991
                     16,                 1.5773,                  2.282,                 1.8756,                0.13173,                0.26973,                0.13496,                0.06959,                 1.6891,                 3.2669,                 2.3566,             0.00080826,             0.00080826,             0.00080826
                     17,                 1.4686,                 2.0779,                  1.765,                0.13409,                0.36821,                0.13359,                0.06712,                  1.731,                 2.7784,                 2.3677,             0.00080661,             0.00080661,             0.00080661
                     18,                 1.4549,                 2.1148,                  1.792,                 0.1522,                0.40218,                0.15428,                0.08182,                 1.6858,                 2.6862,                  2.296,             0.00080496,             0.00080496,             0.00080496
                     19,                 1.4272,                 2.0936,                 1.7395,                0.16272,                0.31447,                 0.1602,                0.09337,                 1.5555,                 2.6434,                 2.2077,             0.00080331,             0.00080331,             0.00080331
