                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0775,                 4.3111,                 4.2264,                0.00134,                  0.625,                0.00249,                0.00127,                 2.2695,                 3.2325,                 4.1609,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 3.0237,                 4.2283,                 4.1917,                0.00151,                  0.625,                 0.0034,                0.00076,                  2.288,                 3.2158,                 4.1592,             0.00020784,             0.00020784,             0.00020784
                      3,                 2.9346,                 4.2207,                 4.1416,                 0.0009,                    0.5,                0.00848,                0.00282,                 2.2725,                  3.186,                 4.1329,             0.00031529,             0.00031529,             0.00031529
                      4,                 2.9642,                 4.1209,                 4.0552,                0.00157,                  0.625,                0.00575,                0.00484,                 2.3505,                  3.622,                 4.0896,             0.00042231,             0.00042231,             0.00042231
                      5,                 2.8764,                  4.029,                 3.9118,                0.00291,                 0.6875,                0.03238,                0.00501,                 2.3635,                 3.7174,                 4.0474,              0.0005289,              0.0005289,              0.0005289
                      6,                 2.7116,                 3.9208,                 3.7729,                0.00223,                   0.75,                0.02775,                0.00657,                 2.2459,                 3.6145,                 4.0239,             0.00063506,             0.00063506,             0.00063506
                      7,                 2.5369,                 3.8605,                 3.6163,                0.00316,                0.81155,                0.04981,                 0.0155,                  2.326,                 3.4137,                 4.0797,             0.00074079,             0.00074079,             0.00074079
                      8,                 2.4173,                  3.793,                 3.4559,                0.78445,                 0.1553,                0.08053,                0.04218,                  1.841,                 5.3082,                 3.4295,             0.00082145,             0.00082145,             0.00082145
                      9,                 2.2146,                 3.6371,                 3.2456,                 0.5074,                 0.0625,                0.16997,                0.06823,                 1.6419,                 3.3363,                  3.407,             0.00081981,             0.00081981,             0.00081981
                     10,                 2.0734,                 3.4962,                 3.1073,                0.41469,                 0.0744,                0.08191,                 0.0441,                 1.4493,                 3.2522,                 3.7127,             0.00081816,             0.00081816,             0.00081816
                     11,                 2.0211,                 3.3106,                  2.959,                0.00266,                0.68006,                 0.0297,                0.01244,                 2.0899,                 3.4485,                 4.1064,             0.00081651,             0.00081651,             0.00081651
                     12,                 1.9613,                 3.2126,                 2.8674,                0.30642,                0.06696,                0.08533,                0.03639,                 1.7712,                 3.1031,                 3.5815,             0.00081486,             0.00081486,             0.00081486
                     13,                  1.795,                 3.0882,                 2.6736,                0.00368,                 0.7756,                0.04794,                0.01745,                 1.8863,                   3.35,                 3.9213,             0.00081321,             0.00081321,             0.00081321
                     14,                 1.7413,                 3.0125,                 2.5953,                0.00388,                      1,                0.08461,                0.03821,                 1.7565,                 3.1936,                 3.7218,             0.00081156,             0.00081156,             0.00081156
                     15,                 1.6359,                 2.9254,                 2.5144,                0.43689,                0.16518,                0.26193,                0.16781,                 1.1176,                 2.5488,                 2.7093,             0.00080991,             0.00080991,             0.00080991
                     16,                 1.5671,                  2.738,                 2.4047,                 0.2179,                 0.7006,                0.40646,                 0.2736,                 1.2062,                  2.367,                 2.4314,             0.00080826,             0.00080826,             0.00080826
                     17,                 1.5159,                 2.6528,                 2.2978,                0.20598,                0.66959,                0.36974,                0.24199,                 1.1828,                 2.1441,                 2.2845,             0.00080661,             0.00080661,             0.00080661
