                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0585,                 4.3012,                 4.1981,                0.00082,                    0.5,                0.00257,                0.00109,                 2.2701,                 3.2268,                 4.1563,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 2.9812,                 4.1944,                 4.1304,                0.00087,                    0.5,                 0.0113,                0.00395,                  2.288,                 3.2007,                 4.1465,             0.00020784,             0.00020784,             0.00020784
                      3,                 2.8273,                 4.0769,                  4.005,                0.00216,                  0.625,                0.00585,                0.00235,                 2.2717,                 3.1671,                 4.1108,             0.00031529,             0.00031529,             0.00031529
                      4,                 2.7422,                 3.9289,                 3.8303,                0.00292,                   0.75,                0.01242,                0.00307,                 2.3148,                 3.4056,                 4.0803,             0.00042231,             0.00042231,             0.00042231
                      5,                 2.5583,                 3.8385,                 3.6845,                0.00215,                   0.75,                0.01937,                 0.0041,                 2.5331,                 3.7644,                 4.0899,              0.0005289,              0.0005289,              0.0005289
                      6,                 2.4238,                 3.7148,                 3.5286,                0.00149,                  0.625,                0.02933,                 0.0112,                 2.3274,                 3.5111,                 3.8839,             0.00063506,             0.00063506,             0.00063506
                      7,                 2.2458,                 3.5466,                 3.3436,                0.68333,                0.07292,                0.12279,                0.06652,                 1.6836,                  6.621,                 3.1844,             0.00074079,             0.00074079,             0.00074079
                      8,                 2.1609,                 3.4664,                 3.1766,                0.31645,                0.59334,                0.24246,                0.11743,                 1.8646,                 33.008,                 3.6304,             0.00082145,             0.00082145,             0.00082145
                      9,                 1.9675,                 3.3457,                 2.9912,                0.41448,                0.39732,                0.08522,                0.03242,                 1.4028,                 14.776,                 3.1235,             0.00081981,             0.00081981,             0.00081981
                     10,                 1.7936,                 3.1346,                 2.8337,                0.22212,                 0.5675,                0.24707,                0.14192,                 1.2906,                 4.0458,                 2.7937,             0.00081816,             0.00081816,             0.00081816
                     11,                  1.773,                 2.9349,                 2.6892,                0.40095,                0.29084,                0.20841,                0.11086,                 1.2313,                  2.708,                 2.7814,             0.00081651,             0.00081651,             0.00081651
                     12,                 1.7665,                  2.871,                 2.6077,                0.69162,                0.33864,                0.21144,                0.14521,                 1.0531,                 6.3755,                  2.383,             0.00081486,             0.00081486,             0.00081486
                     13,                 1.6189,                 2.7766,                  2.414,                0.21655,                0.38677,                0.31194,                0.20768,                 1.2601,                 2.3873,                 2.7572,             0.00081321,             0.00081321,             0.00081321
                     14,                 1.5782,                 2.6727,                 2.3625,                0.17503,                0.30558,                0.28206,                0.21795,                 1.0943,                 2.2779,                 2.7502,             0.00081156,             0.00081156,             0.00081156
                     15,                 1.5383,                  2.666,                 2.3219,                 0.2123,                0.47256,                0.34675,                0.25434,                0.96071,                 2.1561,                 2.1413,             0.00080991,             0.00080991,             0.00080991
