                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9994,                 4.2804,                 4.2218,                      0,                      0,                      0,                      0,                 2.7399,                 4.5224,                 4.1566,             0.00013328,             0.00013328,             0.00013328
                      2,                 2.9497,                 4.2255,                 4.1567,                      0,                      0,                      0,                      0,                  2.743,                 4.5202,                 4.1521,             0.00027435,             0.00027435,             0.00027435
                      3,                 2.9378,                  4.145,                 4.0779,                      0,                      0,                      0,                      0,                 2.7487,                 4.6088,                 4.1468,             0.00041485,             0.00041485,             0.00041485
                      4,                    2.9,                  4.035,                   3.93,                      0,                      0,                      0,                      0,                 2.7585,                 4.7174,                 4.1452,             0.00055479,             0.00055479,             0.00055479
                      5,                 2.7516,                 3.9175,                 3.7606,                0.00027,                0.00562,                0.00023,                0.00017,                  2.768,                 4.7367,                 4.1562,             0.00069418,             0.00069418,             0.00069418
                      6,                 2.5055,                 3.8128,                 3.5193,                0.00033,                0.00806,                0.00205,                0.00116,                 2.8255,                  4.763,                 4.1781,             0.00082475,             0.00082475,             0.00082475
                      7,                 2.2902,                 3.6726,                 3.2804,                0.00134,                 0.0025,                0.00211,                0.00101,                  2.914,                 4.9936,                   4.19,              0.0008231,              0.0008231,              0.0008231
                      8,                 2.1326,                 3.5077,                 3.1164,                0.00108,                 0.0465,                0.00065,                0.00014,                 2.8455,                 4.8803,                 4.1571,             0.00082145,             0.00082145,             0.00082145
                      9,                 1.9643,                 3.3056,                 2.9113,                0.00408,                0.16914,                0.00352,                0.00111,                 2.7442,                 4.9832,                 4.1382,             0.00081981,             0.00081981,             0.00081981
                     10,                 1.8291,                 3.1644,                 2.7428,                0.00551,                0.16299,                0.01083,                0.00402,                 2.7274,                 4.7234,                 4.0926,             0.00081816,             0.00081816,             0.00081816
                     11,                 1.7994,                 3.0382,                 2.6634,                0.00219,                 0.0968,                0.00474,                0.00129,                 2.7392,                 4.7437,                  4.145,             0.00081651,             0.00081651,             0.00081651
                     12,                 1.7007,                 2.9059,                 2.5375,                0.28238,                 0.0025,                0.00207,                0.00108,                 2.7311,                  4.895,                  4.065,             0.00081486,             0.00081486,             0.00081486
                     13,                 1.5382,                 2.6951,                  2.347,                0.00379,                0.10806,                0.00601,                0.00353,                 2.6475,                 4.8426,                 4.0579,             0.00081321,             0.00081321,             0.00081321
                     14,                 1.5197,                 2.6715,                 2.2937,                0.08656,                  0.005,                0.01445,                0.00548,                 2.7359,                 4.8742,                 4.0257,             0.00081156,             0.00081156,             0.00081156
                     15,                 1.4429,                 2.5042,                 2.1659,                0.00358,                0.10545,                0.00449,                0.00293,                 2.7841,                 4.9199,                 3.9769,             0.00080991,             0.00080991,             0.00080991
                     16,                 1.3735,                 2.4768,                 2.1347,                0.00598,                0.23352,                0.01879,                0.00734,                 2.7253,                 4.7508,                 3.8649,             0.00080826,             0.00080826,             0.00080826
                     17,                 1.3392,                 2.3515,                 2.0859,                 0.0689,                   0.06,                0.03023,                0.01497,                 2.8996,                 4.6682,                 3.8409,             0.00080661,             0.00080661,             0.00080661
